,% Pos,Expansion,# clones,Log # clones
0,0.0,1,18991,4.278547833775853
1,0.0,2,1696,3.229425847920695
2,0.0,3,710,2.8512583487190755
3,0.0,4,331,2.519827993775719
4,0.0,5,206,2.3138672203691533
5,0.0,6,155,2.1903316981702914
6,0.0,7,113,2.0530784434834195
7,1.0,1,109,2.037426497940624
8,0.0,8,94,1.9731278535996986
9,0.0,9,62,1.792391689498254
10,0.0,10,54,1.7323937598229686
11,0.0,11,48,1.6812412373755872
12,0.0,13,45,1.6532125137753437
13,0.0,12,32,1.505149978319906
14,0.0,15,29,1.462397997898956
15,0.0,17,28,1.4471580313422192
16,1.0,2,28,1.4471580313422192
17,0.0,16,28,1.4471580313422192
18,0.0,14,26,1.414973347970818
19,0.0,18,22,1.3424226808222062
20,0.0,23,18,1.255272505103306
21,0.0,22,17,1.2304489213782739
22,0.0,28,14,1.146128035678238
23,0.0,21,13,1.1139433523068367
24,0.0,19,12,1.0791812460476249
25,0.0,20,12,1.0791812460476249
26,0.0,27,12,1.0791812460476249
27,0.0,41,11,1.0413926851582251
28,0.0,26,10,1.0
29,0.0,25,10,1.0
30,0.0,39,8,0.9030899869919435
31,0.0,24,8,0.9030899869919435
32,0.0,56,8,0.9030899869919435
33,1.0,3,7,0.8450980400142568
34,0.0,33,7,0.8450980400142568
35,0.5,2,7,0.8450980400142568
36,0.0,29,7,0.8450980400142568
37,0.0,31,7,0.8450980400142568
38,0.0,38,6,0.7781512503836436
39,0.0,37,6,0.7781512503836436
40,0.0,30,6,0.7781512503836436
41,0.0,66,6,0.7781512503836436
42,0.0,48,5,0.6989700043360189
43,0.0,51,5,0.6989700043360189
44,0.0,73,5,0.6989700043360189
45,0.0,36,5,0.6989700043360189
46,0.0,47,5,0.6989700043360189
47,1.0,4,5,0.6989700043360189
48,0.6666666666666666,3,4,0.6020599913279624
49,0.8571428571428571,7,4,0.6020599913279624
50,0.0,53,4,0.6020599913279624
51,0.0,58,4,0.6020599913279624
52,0.0,49,4,0.6020599913279624
53,0.0,68,4,0.6020599913279624
54,0.0,78,4,0.6020599913279624
55,0.0,69,4,0.6020599913279624
56,0.0,32,3,0.47712125471966244
57,0.0,34,3,0.47712125471966244
58,0.3333333333333333,3,3,0.47712125471966244
59,0.0,74,3,0.47712125471966244
60,0.0,82,3,0.47712125471966244
61,0.0,52,3,0.47712125471966244
62,0.0,103,3,0.47712125471966244
63,0.0,64,3,0.47712125471966244
64,0.0,61,3,0.47712125471966244
65,0.0,59,3,0.47712125471966244
66,0.0,45,3,0.47712125471966244
67,0.0,93,3,0.47712125471966244
68,0.0,43,3,0.47712125471966244
69,0.0,35,2,0.3010299956639812
70,0.0,169,2,0.3010299956639812
71,0.0,200,2,0.3010299956639812
72,0.0,198,2,0.3010299956639812
73,0.0,163,2,0.3010299956639812
74,0.0,153,2,0.3010299956639812
75,0.0,134,2,0.3010299956639812
76,0.0,131,2,0.3010299956639812
77,0.0,129,2,0.3010299956639812
78,1.0,8,2,0.3010299956639812
79,0.9090909090909091,11,2,0.3010299956639812
80,0.014705882352941176,68,2,0.3010299956639812
81,0.25,4,2,0.3010299956639812
82,0.5,4,2,0.3010299956639812
83,0.6,5,2,0.3010299956639812
84,1.0,6,2,0.3010299956639812
85,0.0,993,2,0.3010299956639812
86,0.0,267,2,0.3010299956639812
87,0.0,283,2,0.3010299956639812
88,0.0,334,2,0.3010299956639812
89,0.0,218,2,0.3010299956639812
90,0.0,214,2,0.3010299956639812
91,0.0,206,2,0.3010299956639812
92,0.0,205,2,0.3010299956639812
93,0.0,204,2,0.3010299956639812
94,0.0,75,2,0.3010299956639812
95,0.0,87,2,0.3010299956639812
96,0.0,99,2,0.3010299956639812
97,0.0,97,2,0.3010299956639812
98,0.0,46,2,0.3010299956639812
99,0.0,72,2,0.3010299956639812
100,0.0,60,2,0.3010299956639812
101,0.0,50,2,0.3010299956639812
102,0.0,470,2,0.3010299956639812
103,0.0013386880856760374,747,2,0.3010299956639812
104,0.0,538,2,0.3010299956639812
105,0.0,2388,2,0.3010299956639812
106,0.0,164,1,0.0
107,0.0,140,1,0.0
108,0.0,142,1,0.0
109,0.0,157,1,0.0
110,0.0,193,1,0.0
111,0.0,196,1,0.0
112,0.0,175,1,0.0
113,0.0,191,1,0.0
114,0.0,114,1,0.0
115,0.0,116,1,0.0
116,0.0,117,1,0.0
117,0.0,128,1,0.0
118,0.0,80,1,0.0
119,0.0,55,1,0.0
120,0.0,40,1,0.0
121,0.0,44,1,0.0
122,0.0,62,1,0.0
123,0.0,57,1,0.0
124,0.0,71,1,0.0
125,0.0,67,1,0.0
126,0.0,83,1,0.0
127,0.0,85,1,0.0
128,0.0,77,1,0.0
129,0.0,109,1,0.0
130,0.0,369,1,0.0
131,0.0,252,1,0.0
132,0.0,212,1,0.0
133,0.0,249,1,0.0
134,0.0,1121,1,0.0
135,0.0,1122,1,0.0
136,0.0,729,1,0.0
137,0.0,773,1,0.0
138,0.0,557,1,0.0
139,0.0,512,1,0.0
140,0.0,535,1,0.0
141,0.0,556,1,0.0
142,0.0,403,1,0.0
143,0.0,419,1,0.0
144,0.0,500,1,0.0
145,0.0,288,1,0.0
146,0.0,317,1,0.0
147,0.0,344,1,0.0
148,0.0,355,1,0.0
149,0.006369426751592357,157,1,0.0
150,0.6,15,1,0.0
151,0.5,6,1,0.0
152,0.3333333333333333,6,1,0.0
153,0.0034965034965034965,286,1,0.0
154,0.01282051282051282,78,1,0.0
155,0.012987012987012988,77,1,0.0
156,0.04,25,1,0.0
157,0.2,5,1,0.0
158,0.0018365472910927456,1089,1,0.0
159,0.8333333333333334,6,1,0.0
160,0.75,4,1,0.0
161,0.8,5,1,0.0
162,0.6666666666666666,6,1,0.0
163,0.8461538461538461,13,1,0.0
164,0.9821428571428571,56,1,0.0
165,1.0,10,1,0.0
