,Method,Epitope,Experiment,Baseline,Metric,Value
0,Base,LTD,first,kocher,AUC,0.999532273152479
1,Base,LTD,first,kocher,APS,0.9583333333333334
2,Base,YLQ,first,kocher,AUC,0.9995119372025867
3,Base,YLQ,first,kocher,APS,0.9566005040957782
4,Base,LTD,first,kocher2,AUC,1.0
5,Base,LTD,first,kocher2,APS,1.0
6,Base,YLQ,first,kocher2,AUC,1.0
7,Base,YLQ,first,kocher2,APS,1.0
8,Base,LTD,first,vdjdb,AUC,1.0
9,Base,LTD,first,vdjdb,APS,1.0
10,Base,YLQ,first,vdjdb,AUC,1.0
11,Base,YLQ,first,vdjdb,APS,1.0
12,Base,LTD,first,paper,AUC,1.0
13,Base,LTD,first,paper,APS,1.0
14,Base,YLQ,first,paper,AUC,1.0
15,Base,YLQ,first,paper,APS,1.0
16,Base,LTD,second,kocher,AUC,0.983626761944947
17,Base,LTD,second,kocher,APS,0.8871940607985073
18,Base,YLQ,second,kocher,AUC,0.9996924808477833
19,Base,YLQ,second,kocher,APS,0.8694647209541823
20,Base,LTD,second,kocher2,AUC,0.9846493982865614
21,Base,LTD,second,kocher2,APS,0.9744991214026406
22,Base,YLQ,second,kocher2,AUC,0.9998084355010661
23,Base,YLQ,second,kocher2,APS,0.9963105819218514
24,Base,LTD,second,vdjdb,AUC,0.9908300308234259
25,Base,LTD,second,vdjdb,APS,0.978797717177641
26,Base,YLQ,second,vdjdb,AUC,0.8976113621691414
27,Base,YLQ,second,vdjdb,APS,0.8031766200762389
28,Base,LTD,second,paper,AUC,0.9839974542395196
29,Base,LTD,second,paper,APS,0.9616975749188521
30,Base,YLQ,second,paper,AUC,0.9652968494006436
31,Base,YLQ,second,paper,APS,0.9288015677274233
32,Base,LTD,third,kocher,AUC,0.977863920061704
33,Base,LTD,third,kocher,APS,0.8865544908138079
34,Base,YLQ,third,kocher,AUC,0.9998856358645928
35,Base,YLQ,third,kocher,APS,0.9861111111111112
36,Base,LTD,third,kocher2,AUC,0.986078252957234
37,Base,LTD,third,kocher2,APS,0.9863048134036739
38,Base,YLQ,third,kocher2,AUC,0.9984177215189873
39,Base,YLQ,third,kocher2,APS,0.9861111111111112
40,Base,LTD,third,vdjdb,AUC,0.8710286115499385
41,Base,LTD,third,vdjdb,APS,0.8251417970982511
42,Base,YLQ,third,vdjdb,AUC,1.0
43,Base,YLQ,third,vdjdb,APS,1.0
44,Base,LTD,third,paper,AUC,0.9705070663935974
45,Base,LTD,third,paper,APS,0.9567856653169962
46,Base,YLQ,third,paper,AUC,0.999015748031496
47,Base,YLQ,third,paper,APS,0.9861111111111112
48,CloneModel,LTD,first,kocher,AUC,0.999532273152479
49,CloneModel,LTD,first,kocher,APS,0.9583333333333334
50,CloneModel,YLQ,first,kocher,AUC,1.0
51,CloneModel,YLQ,first,kocher,APS,1.0
52,CloneModel,LTD,first,kocher2,AUC,1.0
53,CloneModel,LTD,first,kocher2,APS,1.0
54,CloneModel,YLQ,first,kocher2,AUC,1.0
55,CloneModel,YLQ,first,kocher2,APS,1.0
56,CloneModel,LTD,first,vdjdb,AUC,1.0
57,CloneModel,LTD,first,vdjdb,APS,1.0
58,CloneModel,YLQ,first,vdjdb,AUC,1.0
59,CloneModel,YLQ,first,vdjdb,APS,1.0
60,CloneModel,LTD,first,paper,AUC,1.0
61,CloneModel,LTD,first,paper,APS,1.0
62,CloneModel,YLQ,first,paper,AUC,1.0
63,CloneModel,YLQ,first,paper,APS,1.0
64,CloneModel,LTD,second,kocher,AUC,0.9877724748146982
65,CloneModel,LTD,second,kocher,APS,0.9353788750367679
66,CloneModel,YLQ,second,kocher,AUC,0.9999011375832132
67,CloneModel,YLQ,second,kocher,APS,0.9092526381596794
68,CloneModel,LTD,second,kocher2,AUC,0.9879343265582996
69,CloneModel,LTD,second,kocher2,APS,0.9809629423472132
70,CloneModel,YLQ,second,kocher2,AUC,1.0
71,CloneModel,YLQ,second,kocher2,APS,1.0000000000000002
72,CloneModel,LTD,second,vdjdb,AUC,0.9999669749009247
73,CloneModel,LTD,second,vdjdb,APS,0.9987179487179487
74,CloneModel,YLQ,second,vdjdb,AUC,0.8991607488702389
75,CloneModel,YLQ,second,vdjdb,APS,0.8031766200762389
76,CloneModel,LTD,second,paper,AUC,0.9879523193011364
77,CloneModel,LTD,second,paper,APS,0.9766457187466744
78,CloneModel,YLQ,second,paper,AUC,0.9659068139225139
79,CloneModel,YLQ,second,paper,APS,0.9345448109706664
80,CloneModel,LTD,third,kocher,AUC,0.9977411927863544
81,CloneModel,LTD,third,kocher,APS,0.9871855854851888
82,CloneModel,YLQ,third,kocher,AUC,0.9998856358645929
83,CloneModel,YLQ,third,kocher,APS,0.9861111111111112
84,CloneModel,LTD,third,kocher2,AUC,0.999567788898999
85,CloneModel,LTD,third,kocher2,APS,0.9993123914302258
86,CloneModel,YLQ,third,kocher2,AUC,0.9984177215189873
87,CloneModel,YLQ,third,kocher2,APS,0.9861111111111112
88,CloneModel,LTD,third,vdjdb,AUC,0.8933649289099527
89,CloneModel,LTD,third,vdjdb,APS,0.8919673668793388
90,CloneModel,YLQ,third,vdjdb,AUC,1.0
91,CloneModel,YLQ,third,vdjdb,APS,1.0
92,CloneModel,LTD,third,paper,AUC,0.9871744593083214
93,CloneModel,LTD,third,paper,APS,0.9837195156308272
94,CloneModel,YLQ,third,paper,AUC,0.9990157480314961
95,CloneModel,YLQ,third,paper,APS,0.9861111111111112
